wave_number,distance,chemin,order_per_wave,lines,pcs,mono_multi
0,80,"[[0, 0], (19.5, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 63    1
Name: PCS, dtype: int64>",clustering-clustering
1,66,"[[0, 0], (24, 9.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 57    1
Name: PCS, dtype: int64>",clustering-clustering
2,80,"[[0, 0], (19.5, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 56    1
Name: PCS, dtype: int64>",clustering-clustering
3,80,"[[0, 0], (19.5, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 46    1
Name: PCS, dtype: int64>",clustering-clustering
4,80,"[[0, 0], (19.5, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 41    1
Name: PCS, dtype: int64>",clustering-clustering
5,94,"[[0, 0], (26, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 40    1
Name: PCS, dtype: int64>",clustering-clustering
6,80,"[[0, 0], (19.5, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 2    1
Name: PCS, dtype: int64>",clustering-clustering
7,80,"[[0, 0], (19.5, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 0    1
Name: PCS, dtype: int64>",clustering-clustering
8,64,"[[0, 0], (20.75, 12.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 98    1
Name: PCS, dtype: int64>",clustering-clustering
9,72,"[[0, 0], (22.75, 13.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 97    1
Name: PCS, dtype: int64>",clustering-clustering
10,82,"[[0, 0], (26, 15.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 87    1
Name: PCS, dtype: int64>",clustering-clustering
11,86,"[[0, 0], (24, 19.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 85    1
Name: PCS, dtype: int64>",clustering-clustering
12,74,"[[0, 0], (20.75, 16.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 82    1
Name: PCS, dtype: int64>",clustering-clustering
13,72,"[[0, 0], (22.75, 13.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 79    1
Name: PCS, dtype: int64>",clustering-clustering
14,84,"[[0, 0], (24, 18.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 80    1
Name: PCS, dtype: int64>",clustering-clustering
15,80,"[[0, 0], (24, 16.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 78    1
Name: PCS, dtype: int64>",clustering-clustering
16,58,"[[0, 0], (20.75, 9.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 71    1
Name: PCS, dtype: int64>",clustering-clustering
17,68,"[[0, 0], (24, 10.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 68    1
Name: PCS, dtype: int64>",clustering-clustering
18,80,"[[0, 0], (19.5, 21.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 64    1
Name: PCS, dtype: int64>",clustering-clustering
19,130,"[[0, 0], (45.5, 19.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 51    1
Name: PCS, dtype: int64>",clustering-clustering
20,104,"[[0, 0], (37.75, 15.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 49    1
Name: PCS, dtype: int64>",clustering-clustering
21,114,"[[0, 0], (44.25, 13.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 29    1
Name: PCS, dtype: int64>",clustering-clustering
22,106,"[[0, 0], (47.5, 6.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 27    2
Name: PCS, dtype: int64>",clustering-clustering
23,116,"[[0, 0], (42.25, 16.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 28    1
Name: PCS, dtype: int64>",clustering-clustering
24,108,"[[0, 0], (41.0, 13.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 23    1
Name: PCS, dtype: int64>",clustering-clustering
25,108,"[[0, 0], (44.25, 10.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 9    1
Name: PCS, dtype: int64>",clustering-clustering
26,102,"[[0, 0], (42.25, 9.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 6    1
Name: PCS, dtype: int64>",clustering-clustering
27,130,"[[0, 0], (47.5, 18.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 4    1
Name: PCS, dtype: int64>",clustering-clustering
28,112,"[[0, 0], (44.25, 12.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 5    1
Name: PCS, dtype: int64>",clustering-clustering
29,124,"[[0, 0], (45.5, 16.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 99    1
Name: PCS, dtype: int64>",clustering-clustering
30,118,"[[0, 0], (44.25, 15.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 86    1
Name: PCS, dtype: int64>",clustering-clustering
31,118,"[[0, 0], (45.5, 13.5), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 84    1
Name: PCS, dtype: int64>",clustering-clustering
32,108,"[[0, 0], (42.25, 12.0), [0, 0]]",1,1,"<bound method NDFrame._add_numeric_operations.<locals>.sum of 81    1
Name: PCS, dtype: int64>",clustering-clustering
